Код	"маркет bid"	"маркет cbid"	Кластер
25733	78	78	000
8709	31	31	000
58411	30	30	000
22967	31	31	000
62522	31	31	000
5395	31	31	000
58471	30	30	000
58937	31	31	000
62671	30	30	000
53725	31	31	000
24655	31	31	000
25808	31	31	000
32473	31	31	000
22232	30	30	000
11793	31	31	000
55541	34	34	000
800046	31	31	000
33073	28	28	000
33074	31	31	000
28546	19	19	000
11172	31	31	000
62014	31	31	000
62534	31	31	000
60650	19	19	000
22211	31	31	000
25918	26	26	000
8909	30	30	000
62251	30	30	000
22989	32	32	000
58671	32	32	000
21985	32	32	000
57007	32	32	000
23631	31	31	000
60522	32	32	000
61844	32	32	000
12597	32	32	000
32401	32	32	000
55839	32	32	000
22479	36	36	000
21486	32	32	000
59399	32	32	000
22258	32	32	000
52059	32	32	000
23435	32	32	000
23592	31	31	000
21580	31	31	000
58687	54	54	000
62317	32	32	000
25729	32	32	000
59575	33	33	000
6457	32	32	000
58456	35	35	000
22241	34	34	000
48925	32	32	000
25737	32	32	000
28238	32	32	000
48422	32	32	000
56001	32	32	000
21979	28	28	000
23441	30	30	000
62224	33	33	000
36960	32	32	000
18447	29	29	000
8209	32	32	000
12596	34	34	000
23632	32	32	000
19163	32	32	000
22326	32	32	000
23322	33	33	000
20776	32	32	000
12600	34	34	000
33613	29	29	000
5428	33	33	000
55542	32	32	000
21139	80	80	000
57932	33	33	000
64258	33	33	000
38121	33	33	000
23442	33	33	000
65100	33	33	000
33735	12	12	000
62791	33	33	000
6095	33	33	000
41560	83	83	000
58946	33	33	000
27350	33	33	000
57534	34	34	000
23294	31	31	000
62535	33	33	000
23554	33	33	000
25650	24	24	000
23629	33	33	000
25637	33	33	000
23006	33	33	000
6466	59	59	000
23297	33	33	000
69087	31	31	000
49961	33	33	000
23510	33	33	000
25787	33	33	000
22480	33	33	000
68663	31	31	000
62798	34	34	000
58396	35	35	000
20746	34	34	000
23284	34	34	000
58793	34	34	000
57783	24	24	000
23396	34	34	000
31902	34	34	000
22372	34	34	000
23323	34	34	000
25731	34	34	000
51231	12	12	000
61796	34	34	000
22340	34	34	000
29336	34	34	000
25727	34	34	000
24131	34	34	000
60796	34	34	000
55260	34	34	000
37250	34	34	000
56139	34	34	000
52464	34	34	000
59387	34	34	000
20758	34	34	000
22969	34	34	000
46199	27	27	000
62809	34	34	000
62756	34	34	000
64030	21	21	000
62797	35	35	000
64029	21	21	000
32254	34	34	000
33165	34	34	000
23025	34	34	000
59017	34	34	000
55543	30	30	000
11780	35	35	000
25156	35	35	000
45603	38	38	000
59029	35	35	000
61797	23	23	000
23313	35	35	000
66042	12	12	000
22390	35	35	000
40440	35	35	000
68504	35	35	000
30089	35	35	000
60332	27	27	000
47244	35	35	000
49671	35	35	000
23555	35	35	000
61357	35	35	000
59166	35	35	000
24679	35	35	000
64760	35	35	000
61732	35	35	000
23633	35	35	000
60837	35	35	000
61839	37	37	000
21137	89	89	000
69083	86	86	000
23277	35	35	000
20752	35	35	000
61356	35	35	000
53188	31	31	000
61799	12	12	000
21110	35	35	000
67770	37	37	000
24681	35	35	000
43227	35	35	000
61792	35	35	000
61798	34	34	000
24675	35	35	000
62932	36	36	000
18939	35	35	000
25263	36	36	000
24656	36	36	000
61358	33	33	000
51283	36	36	000
62928	36	36	000
25445	97	97	000
24658	36	36	000
22374	39	39	000
59615	35	35	000
23070	36	36	000
5404	36	36	000
23000	36	36	000
47590	36	36	000
